Group,nlFDT,Age,isFem,METm,METr,APS
NMUS,2.50514543701333,24,1,0.63462,0.73077,0.495039682539683
NMUS,2.18737842210927,29,0,0.57692,0.67308,0.416394335511983
NMUS,1.43482168917061,23,1,0.51923,0.63462,0.284548611111111
NMUS,2.13721536072993,22,0,0.61538,0.82692,0.642655367231638
NMUS,2.3379347167721,25,1,0.75,0.73077,0.522908622908623
NMUS,2.20412729359521,21,0,0.69231,0.69231,0.583333333333333
NMUS,2.05361275853256,25,1,0.76923,0.71154,0.736111111111111
NMUS,2.30445790329721,31,0,0.73077,0.80769,0.54457671957672
NMUS,2.72244194473936,24,1,0.84615,0.84615,0.601449275362319
NMUS,0.999999462572329,27,0,0.59615,0.78846,0.728009259259259
NMUS,2.10377986692658,23,1,0.71154,0.84615,0.505662805662806
NMUS,2.94009479381312,37,0,0.78846,0.86538,0.542526455026455
NMUS,1.23413451357147,28,1,0.46154,0.75,0.306451612903226
NAP,2.37138614953774,22,0,0.59615,0.67308,0.658333333333333
NAP,2.43823263482555,20,0,0.80769,0.82692,0.562741312741313
NAP,2.5720937169968,25,1,0.96154,0.84615,0.490196078431373
NAP,2.17066313864357,24,1,0.96154,0.73077,0.706730769230769
NAP,2.43827624511707,29,0,0.86538,0.69231,0.283783783783784
NAP,2.52193029480041,24,1,0.75,0.84615,0.675641025641026
NAP,1.95325894669494,38,0,0.82692,0.78846,0.475482625482625
NAP,2.77267587903429,25,1,0.78846,0.78846,0.387729285262492
NAP,2.22084116506293,27,1,0.65385,0.65385,0.42985842985843
NAP,2.57210098017013,29,1,0.73077,0.82692,0.564092664092664
AP,2.77272323871832,31,0,0.96154,0.90385,0.993055555555556
AP,3.14062438410035,25,1,0.96154,0.84615,0.6475
AP,2.07032892062025,23,0,0.78846,0.75,0.9375
AP,3.22400908928176,28,0,0.75,0.71154,0.737089201877934
AP,2.15394926594058,18,1,0.94231,0.88462,0.914351851851852
AP,2.72256238016551,22,1,0.96154,0.94231,0.742063492063492
AP,1.93653776428794,24,0,0.98077,0.88462,0.951388888888889
AP,2.37138528021525,23,1,0.94231,0.80769,0.929100529100529
AP,2.8396459468346,24,0,1,0.82692,0.716931216931217
AP,2.88982413209477,25,1,0.96154,0.67308,0.884259259259259
AP,2.60554703303469,28,0,0.92308,0.78846,0.961240310077519
