Group,nlFDT
NMUS,2.50514543701333
NMUS,2.18737842210927
NMUS,1.43482168917061
NMUS,2.13721536072993
NMUS,2.3379347167721
NMUS,2.20412729359521
NMUS,2.05361275853256
NMUS,2.30445790329721
NMUS,2.72244194473936
NMUS,0.999999462572329
NMUS,2.10377986692658
NMUS,2.94009479381312
NMUS,1.23413451357147
NAP,2.37138614953774
NAP,2.43823263482555
NAP,2.5720937169968
NAP,2.17066313864357
NAP,2.43827624511707
NAP,2.52193029480041
NAP,1.95325894669494
NAP,2.77267587903429
NAP,2.22084116506293
NAP,2.57210098017013
AP,2.77272323871832
AP,3.14062438410035
AP,2.07032892062025
AP,3.22400908928176
AP,2.15394926594058
AP,2.72256238016551
AP,1.93653776428794
AP,2.37138528021525
AP,2.8396459468346
AP,2.88982413209477
AP,2.60554703303469
